row_id,datatype_value
523,Q2TA70_HUMAN
524,Q2TU34_HUMAN
525,Q504W7_HUMAN
526,Q53FV7_HUMAN
527,Q53H01_HUMAN
528,Q53Y25_HUMAN
529,Q53Y41_HUMAN
530,Q53Y83_HUMAN
531,Q59EE7_HUMAN
532,Q59EI3_HUMAN
533,Q59ET0_HUMAN
534,Q59GC5_HUMAN
535,Q59GJ6_HUMAN
536,Q59GX2_HUMAN
537,Q59HB3_HUMAN
538,Q59HG9_HUMAN
539,Q5DT03_HUMAN
540,Q5JT02_HUMAN
541,Q5QPK2_HUMAN
542,Q5SNW7_HUMAN
543,Q5T3L8_HUMAN
544,Q5TCI8_HUMAN
545,Q5U077_HUMAN
546,Q5U743_HUMAN
547,Q5VU50_HUMAN
548,Q5VVD0_HUMAN
549,Q68D27_HUMAN
550,Q6AHX3_HUMAN
551,Q6FH62_HUMAN
552,Q6IPK3_HUMAN
553,Q6P5Q6_HUMAN
554,Q6PAU8_HUMAN
555,Q6PEK7_HUMAN
556,Q6VLV1_HUMAN
557,Q762B6_HUMAN
558,Q7GIM7_HUMAN
559,Q7GXZ4_HUMAN
560,Q7KZA3_HUMAN
561,Q7Z7Q0_HUMAN
562,Q86TM7_HUMAN
563,Q86V38_HUMAN
564,Q8IU67_HUMAN
565,Q8IUN5_HUMAN
566,Q8IZH9_HUMAN
567,Q8IZR3_HUMAN
568,Q8N8L9_HUMAN
569,Q8NHZ6_HUMAN
570,Q8WZ48_HUMAN
571,Q9H6V3_HUMAN
572,Q9H9J7_HUMAN
573,Q9NTF0_HUMAN
574,Q9NX22_HUMAN
575,Q9Y464_HUMAN
576,Q9Y4T0_HUMAN
577,RET_HUMAN
578,RGMC_HUMAN
579,RIR2B_HUMAN
580,RL11_HUMAN
581,RL35A_HUMAN
582,RL5_HUMAN
583,RM44_HUMAN
584,RNH1_HUMAN
585,RS10_HUMAN
586,RS17_HUMAN
587,RS19_HUMAN
588,RS24_HUMAN
589,RS26_HUMAN
590,RS7_HUMAN
591,RXLT1_HUMAN
592,S12A1_HUMAN
593,S12A3_HUMAN
594,S17A5_HUMAN
595,S19A3_HUMAN
596,S22A5_HUMAN
597,S36A2_HUMAN
598,S39A4_HUMAN
599,S39AD_HUMAN
600,S6A19_HUMAN
601,S6A20_HUMAN
602,SAP_HUMAN
603,SAR1B_HUMAN
604,SC5A1_HUMAN
605,SC5D_HUMAN
606,SCP2_HUMAN
607,SG196_HUMAN
608,SGCA_HUMAN
609,SGCG_HUMAN
610,SIAT9_HUMAN
611,SPRE_HUMAN
612,SPYA_HUMAN
613,SSDH_HUMAN
614,SSRD_HUMAN
615,SUCB1_HUMAN
616,SUCHY_HUMAN
617,SUMF1_HUMAN
618,SYDM_HUMAN
619,SYHM_HUMAN
620,SYLM_HUMAN
621,T23O_HUMAN
622,TBX6_HUMAN
623,TENX_HUMAN
624,TFR2_HUMAN
625,THIL_HUMAN
626,TIM14_HUMAN
627,TOP3A_HUMAN
628,TPP1_HUMAN
